Date,Dernier,Ouv., Plus Haut,Plus Bas
21/06/2000,0.9444,0.9542,0.9546,0.943
22/06/2000,0.9359,0.9452,0.9475,0.9344
23/06/2000,0.936,0.9359,0.9431,0.9339
26/06/2000,0.937,0.9365,0.94,0.9299
27/06/2000,0.946,0.937,0.9471,0.9353
28/06/2000,0.9417,0.9455,0.9473,0.94
29/06/2000,0.952,0.9417,0.9539,0.9414
30/06/2000,0.9526,0.9508,0.9603,0.9502
03/07/2000,0.9504,0.9524,0.9547,0.948
04/07/2000,0.9509,0.9506,0.9523,0.9465
05/07/2000,0.9531,0.9516,0.9573,0.9507
06/07/2000,0.9507,0.9531,0.9599,0.9495
07/07/2000,0.9484,0.9508,0.9528,0.946
10/07/2000,0.9553,0.9482,0.9556,0.9474
11/07/2000,0.9524,0.955,0.9567,0.949
12/07/2000,0.9423,0.9519,0.9528,0.9391
13/07/2000,0.9372,0.9414,0.9426,0.9322
14/07/2000,0.9383,0.9368,0.9391,0.9315
17/07/2000,0.9366,0.9382,0.9401,0.9338
18/07/2000,0.9243,0.9366,0.9367,0.9227
19/07/2000,0.9244,0.9249,0.9263,0.919
20/07/2000,0.933,0.9247,0.9345,0.92
21/07/2000,0.937,0.9331,0.9381,0.9312
24/07/2000,0.9338,0.9363,0.9377,0.9309
25/07/2000,0.9384,0.9334,0.9431,0.9316
26/07/2000,0.9433,0.9382,0.945,0.9379
27/07/2000,0.9319,0.9435,0.9444,0.9316
28/07/2000,0.9234,0.9318,0.9338,0.9223
31/07/2000,0.9263,0.9239,0.9297,0.9221
01/08/2000,0.9142,0.9265,0.9294,0.913
02/08/2000,0.9133,0.9145,0.9193,0.9113
03/08/2000,0.9068,0.9138,0.9179,0.8994
04/08/2000,0.9081,0.9064,0.9103,0.9012
07/08/2000,0.9076,0.9073,0.9115,0.9053
08/08/2000,0.9021,0.9074,0.9086,0.8983
09/08/2000,0.9014,0.9022,0.9034,0.8961
10/08/2000,0.908,0.9012,0.91,0.9003
11/08/2000,0.9025,0.9082,0.9146,0.9025
14/08/2000,0.9057,0.9038,0.9068,0.8997
15/08/2000,0.9127,0.906,0.9142,0.9056
16/08/2000,0.9161,0.9128,0.918,0.9063
